x y
1.000000000000000082e-05 3.666666666666666598e-03
3.727593720314938141e-05 1.000000000000000021e-02
1.389495494373137348e-04 5.066666666666666541e-02
5.179474679231213042e-04 1.483333333333333448e-01
1.930697728883249645e-03 3.753333333333333521e-01
7.196856730011513652e-03 5.046666666666667078e-01
2.682695795279724585e-02 5.076666666666667105e-01
1.000000000000000056e-01 5.150000000000000133e-01
