x y
1.000000000000000082e-05 1.200000000000000025e-02
3.727593720314938141e-05 3.799999999999999906e-02
1.389495494373137348e-04 9.600000000000000200e-02
5.179474679231213042e-04 2.790000000000000258e-01
1.930697728883249645e-03 4.769999999999999796e-01
7.196856730011513652e-03 4.899999999999999911e-01
2.682695795279724585e-02 5.050000000000000044e-01
1.000000000000000056e-01 5.030000000000000027e-01
